Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Faculty of Arts & Social Sci,Chinese Studies,CH4201,Chinese Classical Phonology,L1,2,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH4203,Chinese Dialectology,E1,2,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH4207,History of Chinese Language,E1,2,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5210,CHINESE LEXICAL SEMANTICS,S1,2147483647,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5211,Seminar in Chinese Pragmatics,S1,2147483647,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5224,PRESCRIBED TEXTS IN LITERATURE,L1,2147483647,12,12,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5243,Contemporary China-Southeast Asia Relations,E1,23,13,13,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5245,Seminar in Early Taoism,E1,2147483647,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH6241,TOPICS IN CHINESE HISTORY,S1,2147483647,8,8,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH6770,GRADUATE RESEARCH SEMINAR,S1,2147483647,5,5,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L1,30,26,26,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L2,29,32,29,0,3,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L3,29,28,28,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L4,29,31,29,0,2,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5102,Contemporary Research in Chinese Language,L1,30,48,30,0,18,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5301,History and Civilizations of the Tang Empire,L1,23,27,23,0,4,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5301,History and Civilizations of the Tang Empire,L2,23,9,9,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5303,Traditional Chinese Culture in Singapore and Malaysia,L1,23,22,22,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5304,Society and Culture of the Ming Dynasty,L1,23,24,23,0,1,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5312,Tang-Song Poetry and Poetics,L1,23,42,23,0,19,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5313,Thematics in Chinese Literature,E1,23,30,23,0,7,0,0,0
