Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
College of Design and Eng,Biomedical Engineering,BN5102,Clinical Instrumentation,L1,1,5,2,0,3,0,0,0
College of Design and Eng,Biomedical Engineering,BN5203,ADVANCED TISSUE ENGINEERING,L1,24,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,27,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN6202,Advanced Human Motion Biomechanics,L1,20,3,3,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN6401,Advanced Quantitative Fluorescence Microscopy,L1,6,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5040,ADVANCED TRANSPORT PHENOMENA,L1,13,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5050,ADVANCED SEPARATION PROCESSES,L1,18,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5112,Introduction to Electrochemical Systems,L1,31,9,9,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5161,POLYMER PROCESSING ENGINEERING,L1,8,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5193,INSTRUMENTAL METHODS OF ANALYSIS,L1,3,3,3,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5215,Atomistic Modelling of Molecules and Materials,L1,0,3,0,0,3,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5246,Catalysis Science and Engineering,L1,5,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5432,Fundamentals and Applications of Porous Materials,L1,1,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN6020,Advanced Reaction Engineering,L1,4,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5001,Fundamentals in Process Safety,L1,0,11,0,0,11,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5003,FUNDAMENTALS IN ENVIRONMENTAL PROTECTION,L1,18,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5004,Fundamentals in Industrial Hygiene,L1,4,4,4,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5101,INDUSTRIAL TOXICOLOGY,L1,0,3,0,0,3,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5105,Noise and Other Physical Hazards,L1,2,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5109,Biostatistics and Epidemiology,L1,22,5,5,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5201,HAZARD IDENTIFICATION & EVALUATION TECHNIQUES,L1,16,4,4,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5203,Resilience and Emergency Planning,L1,0,1,0,0,1,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5208,Functional Safety for Process,L1,39,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5401,"Safety, Health, Environment & Quality Management System",L1,1,4,1,0,3,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5407,Sustainable Energy and Environment,L1,2147483647,3,3,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5408,Electrical Safety,L1,38,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE4221,Design of Land Transport Infrastructures,L01,26,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5001,Research Project,L01,25,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5106,Ground Improvement,L01,0,12,0,0,11,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5107,Pile Foundations,L01,18,8,8,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5111,UNDERGROUND CONSTRUCTION DESIGN PROJECT,L01,30,1,0,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5112,Structural Support Systems for Excavation,L01,1,9,1,0,6,0,0,2
College of Design and Eng,Civil & Environmental Eng,CE5205,Transportation Planning,L01,4,1,1,1,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5206,Urban Public Transportation Systems,L01,3,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5308,Coastal Protection and Sediment Transport,L01,3,4,2,1,0,1,0,1
College of Design and Eng,Civil & Environmental Eng,CE5310,Hydroinformatics,L01,3,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5314,HEWRM Project,EL01,119,1,0,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5315,Climate Science for Engineers,L01,6,2,1,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5513,Plastic Analysis Of Structures,L01,1,4,3,1,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5516,Structural Stability & Dynamic,L01,22,1,0,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5604,Advanced Concrete Technology,L01,1,8,6,0,0,0,0,2
College of Design and Eng,Civil & Environmental Eng,CE5611,Precast Concrete Technology,L01,7,5,4,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5805,DfMA & Productivity Analytics in Construction,L01,6,4,3,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5808,Digital Design and Construction (BIM and VDC),L01,2,5,4,0,0,0,0,1
College of Design and Eng,Civil & Environmental Eng,CE5809,Management and Economics of International Construction,L01,4,15,11,0,0,0,0,4
College of Design and Eng,Civil & Environmental Eng,CE6601,Characterization of Sustainable Building Materials,L01,2,5,2,0,2,0,0,1
College of Design and Eng,Civil & Environmental Eng,ESE5001,Environmental Engineering Principles,L01,30,2,2,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE5003,Environmental Chemical Processes Analysis,L01,24,3,3,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE5004,Research Project,L01,19,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE5203,AEROSOL SCIENCE AND TECHNOLOGY,L01,24,2,2,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE5401,Water Quality Management,L01,3,6,3,0,2,0,0,1
College of Design and Eng,Civil & Environmental Eng,ESE5405,Water Treatment Processes,L01,1,6,2,0,0,0,0,4
College of Design and Eng,Civil & Environmental Eng,ESE5880C,Topics in Env. Eng. - Environ Sys Planning & Analysis,L01,0,13,0,0,7,0,0,6
College of Design and Eng,Civil & Environmental Eng,ESE6003,Advanced Environmental Chemical Process Analysis,L01,1,1,1,0,0,0,0,0
