Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Built Environment,BPS5225,Performance Measurement and,L1,50,10,10,0,0,0,0,0
College of Design and Eng,Built Environment,BPS5226,Smart Buildings and Facilities,L1,50,20,20,0,0,0,0,0
College of Design and Eng,Built Environment,BPS5228,Advanced Building Materials and Structures,L1,50,17,17,0,0,0,0,0
College of Design and Eng,Built Environment,PM5101,PROJECT MANAGEMENT,L1,100,13,13,0,0,0,0,0
College of Design and Eng,Built Environment,PM5105,DEVELOPMENT FINANCE,L1,95,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PM5107,TIME AND COST MANAGEMENT,L1,95,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PM5109,PROJECT MANAGEMENT LAW,L1,95,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PM5115,Project Finance Contracts and Agreements,L1,100,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PM5117,Urban Managment,L1,100,12,0,0,0,0,0,12
College of Design and Eng,CDE Dean's Office,BX5101,BUSINESS AND THE ENVIRONMENT,L1,45,5,5,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,DE5107,Environmental Planning,L1,50,5,5,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5020,ADVANCED REACTION ENGINEERING,L1,39,6,6,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5040,ADVANCED TRANSPORT PHENOMENA,L1,54,15,15,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5050,ADVANCED SEPARATION PROCESSES,L1,70,18,18,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5111,OPTIMIZATION OF CHEMICAL PROCESSES,L1,38,24,24,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5112,Introduction to Electrochemical Systems,L1,79,36,36,0,0,0,0,0
